,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File POP/15-3: Annual female population by five-year age group, region, subregion and country, 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/POP/F15-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Female population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
1,Estimates,WORLD,,900,World,0,1950,  166 077,  131 785,  127 343,  117 333,  109 689,  98 538,  84 666,  83 026,  74 400,  64 902,  55 078,  46 114,  39 067,  30 066,  20 806,  12 558,  5 750,  2 178,   631,   139,   25
2,Estimates,WORLD,,900,World,0,1951,  175 631,  134 400,  127 528,  118 647,  110 640,  100 483,  85 849,  82 840,  75 546,  66 114,  56 177,  46 745,  39 324,  30 528,  21 176,  12 900,  6 091,  2 313,   697,   145,   23
3,Estimates,WORLD,,900,World,0,1952,  184 027,  138 237,  127 176,  120 329,  111 343,  102 141,  87 789,  82 070,  76 788,  67 210,  57 362,  47 543,  39 549,  31 027,  21 558,  13 158,  6 397,  2 384,   738,   161,   21
4,Estimates,WORLD,,900,World,0,1953,  190 653,  143 345,  126 758,  122 190,  112 022,  103 603,  90 284,  81 171,  78 016,  68 241,  58 650,  48 504,  39 849,  31 557,  21 972,  13 368,  6 637,  2 396,   750,   172,   20
5,Estimates,WORLD,,900,World,0,1954,  195 449,  149 226,  127 050,  123 782,  112 957,  104 978,  92 874,  80 815,  78 965,  69 311,  60 013,  49 612,  40 340,  32 097,  22 434,  13 575,  6 785,  2 371,   717,   162,   19
6,Estimates,WORLD,,900,World,0,1955,  199 236,  154 926,  128 616,  124 828,  114 283,  106 315,  95 222,  81 378,  79 460,  70 485,  61 385,  50 850,  41 066,  32 639,  22 948,  13 811,  6 843,  2 314,   620,   118,   18
