United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File POP/15-3: Annual female population by five-year age group, region, subregion and country, 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/POP/F15-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© August 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition. Rev. 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Female population by five-year age group (thousands),,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1,Estimates,WORLD,,900,World,0,1950,166077,131785,127343,117333,109689,98538,84666,83026,74400,64902,55078,46114,39067,30066,20806,12558,5750,2178,631,139,25
2,Estimates,WORLD,,900,World,0,1951,175631,134400,127528,118647,110640,100483,85849,82840,75546,66114,56177,46745,39324,30528,21176,12900,6091,2313,697,145,23
3,Estimates,WORLD,,900,World,0,1952,184027,138237,127176,120329,111343,102141,87789,82070,76788,67210,57362,47543,39549,31027,21558,13158,6397,2384,738,161,21
4,Estimates,WORLD,,900,World,0,1953,190653,143345,126758,122190,112022,103603,90284,81171,78016,68241,58650,48504,39849,31557,21972,13368,6637,2396,750,172,20
5,Estimates,WORLD,,900,World,0,1954,195449,149226,127050,123782,112957,104978,92874,80815,78965,69311,60013,49612,40340,32097,22434,13575,6785,2371,717,162,19
6,Estimates,WORLD,,900,World,0,1955,199236,154926,128616,124828,114283,106315,95222,81378,79460,70485,61385,50850,41066,32639,22948,13811,6843,2314,620,118,18
7,Estimates,WORLD,,900,World,0,1956,204627,161387,131014,124827,115522,107225,97077,82413,79235,71631,62378,51874,41610,32905,23362,14167,7144,2567,689,128,17
8,Estimates,WORLD,,900,World,0,1957,207238,168451,134936,124448,117385,108105,98867,84446,78568,73059,63418,53095,42391,33199,23824,14503,7346,2768,728,150,17
9,Estimates,WORLD,,900,World,0,1958,208513,175626,140040,124077,119441,108994,100504,87092,77786,74479,64507,54419,43361,33562,24316,14824,7467,2882,748,166,16
10,Estimates,WORLD,,900,World,0,1959,209899,182237,145805,124445,121088,110021,101971,89766,77455,75507,65679,55754,44467,34061,24800,15136,7532,2905,730,159,16
11,Estimates,WORLD,,900,World,0,1960,212402,187553,151840,126068,122023,111277,103287,92107,77941,75953,66936,57056,45672,34740,25264,15456,7567,2829,658,118,15
12,Estimates,WORLD,,900,World,0,1961,213779,193010,158299,128875,122364,112801,104417,94182,79238,75870,68176,58121,46701,35383,25668,15980,7965,3072,778,128,15
13,Estimates,WORLD,,900,World,0,1962,217506,196617,165043,132741,121965,114622,105228,95923,81284,75164,69511,59130,47790,36122,26005,16474,8303,3237,873,151,15
14,Estimates,WORLD,,900,World,0,1963,222932,198490,171924,137565,121458,116528,105936,97413,83842,74290,70773,60174,48945,36975,26357,16937,8583,3320,936,169,15
15,Estimates,WORLD,,900,World,0,1964,228791,199528,178410,143142,121809,118135,106870,98806,86480,73955,71719,61362,50179,37957,26823,17355,8816,3350,941,167,15
16,Estimates,WORLD,,900,World,0,1965,234318,200959,183750,149282,123584,119209,108204,100175,88885,74558,72219,62711,51493,39069,27450,17732,9020,3332,870,129,15
17,Estimates,WORLD,,900,World,0,1966,241374,204316,187409,155468,126177,119444,109591,101169,90882,75732,72016,63830,52596,40107,28094,18169,9498,3647,998,154,16
18,Estimates,WORLD,,900,World,0,1967,246550,208765,190247,162429,130090,119192,111556,102059,92743,77879,71380,65178,53749,41291,28872,18547,9942,3888,1084,196,16
19,Estimates,WORLD,,900,World,0,1968,250303,214108,192565,169579,135106,118927,113746,102953,94432,80657,70663,66549,54954,42588,29789,18922,10341,4042,1140,228,16
20,Estimates,WORLD,,900,World,0,1969,253480,219684,195032,176057,140826,119425,115578,104030,95956,83486,70448,67610,56234,43946,30827,19362,10664,4138,1141,228,17
21,Estimates,WORLD,,900,World,0,1970,256787,224556,198212,181377,146959,121194,116731,105407,97346,85990,71107,68179,57601,45332,31975,19920,10910,4191,1075,181,18
22,Estimates,WORLD,,900,World,0,1971,260480,229771,201837,185265,153348,124056,117220,107060,98492,88128,72468,68017,58785,46378,32938,20582,11298,4590,1244,207,19
23,Estimates,WORLD,,900,World,0,1972,262934,234915,206305,188029,160312,128104,117120,109202,99471,90036,74750,67399,60141,47464,33972,21284,11601,4909,1364,252,20
24,Estimates,WORLD,,900,World,0,1973,264540,239711,211394,190166,167312,133125,116951,111487,100425,91714,77603,66729,61458,48628,35080,22022,11882,5109,1447,286,21
25,Estimates,WORLD,,900,World,0,1974,265533,243914,216674,192563,173608,138781,117541,113391,101582,93238,80479,66625,62460,49909,36257,22808,12195,5205,1464,286,23
26,Estimates,WORLD,,900,World,0,1975,266221,247279,221764,195801,178776,144815,119397,114637,103067,94669,83031,67439,63022,51299,37502,23664,12557,5216,1403,230,25
27,Estimates,WORLD,,900,World,0,1976,266622,250972,226683,199610,182737,151175,122232,115194,104772,95831,85127,68852,62946,52397,38542,24508,13118,5600,1631,269,27
28,Estimates,WORLD,,900,World,0,1977,266352,253867,231602,204192,185530,158059,126221,115133,106943,96845,86998,71140,62464,53674,39599,25411,13619,5884,1797,334,28
29,Estimates,WORLD,,900,World,0,1978,265926,255850,236431,209338,187719,164962,131199,114974,109262,97850,88668,73978,61945,54979,40700,26390,14082,6066,1910,386,30
30,Estimates,WORLD,,900,World,0,1979,266093,257004,240906,214651,190199,171167,136823,115537,111198,99053,90205,76832,61964,56047,41883,27428,14549,6188,1935,393,33
31,Estimates,WORLD,,900,World,0,1980,267434,257559,244682,219852,193518,176264,142802,117340,112453,100568,91657,79362,62858,56731,43172,28507,15067,6263,1861,331,35
32,Estimates,WORLD,,900,World,0,1981,269026,258850,247876,224921,197533,180441,149227,120298,113063,102314,92828,81365,64232,56622,44206,29409,15853,6729,2108,386,38
33,Estimates,WORLD,,900,World,0,1982,272324,259470,250438,229885,202151,183343,156091,124342,113007,104461,93812,83128,66401,56107,45377,30256,16599,7078,2274,471,41
34,Estimates,WORLD,,900,World,0,1983,276918,259545,252541,234637,207240,185561,162964,129318,112857,106720,94775,84711,69058,55588,46545,31120,17300,7317,2382,536,45
35,Estimates,WORLD,,900,World,0,1984,282172,259504,254241,239030,212511,188055,169216,134939,113480,108624,95966,86219,71739,55644,47490,32072,17958,7514,2403,542,48
36,Estimates,WORLD,,900,World,0,1985,287731,259928,255382,242940,217743,191405,174443,140971,115393,109915,97513,87703,74164,56579,48108,33140,18600,7700,2328,459,52
37,Estimates,WORLD,,900,World,0,1986,295435,262150,255797,245930,222594,195285,178404,147262,118242,110446,99140,88767,76019,57799,47982,34091,19414,8339,2616,520,56
38,Estimates,WORLD,,900,World,0,1987,301982,265690,255943,248579,227502,199893,181288,154108,122282,110434,101262,89742,77753,59821,47525,35144,20143,8871,2809,616,60
39,Estimates,WORLD,,900,World,0,1988,307242,270399,256037,250796,232263,204964,183602,160988,127310,110370,103544,90745,79365,62346,47094,36174,20833,9266,2945,690,65
40,Estimates,WORLD,,900,World,0,1989,310901,275675,256621,252512,236636,210123,186183,167202,132975,111053,105473,91976,80903,64928,47203,36975,21530,9584,2992,695,69
41,Estimates,WORLD,,900,World,0,1990,312905,280584,258206,253753,240489,215159,189532,172362,139003,112990,106781,93546,82402,67299,48128,37462,22263,9849,2955,595,74
42,Estimates,WORLD,,900,World,0,1991,315586,286009,260548,253932,243455,220029,193275,176249,145121,115837,107272,95088,83354,68932,49319,37381,23129,10560,3356,666,78
43,Estimates,WORLD,,900,World,0,1992,313642,291970,264170,253904,246123,225079,197858,179203,151868,119886,107314,97178,84301,70512,51202,37027,24011,11115,3641,783,83
44,Estimates,WORLD,,900,World,0,1993,308807,298004,268718,253997,248315,230006,203021,181620,158738,124890,107366,99455,85331,72047,53479,36738,24806,11508,3847,876,88
45,Estimates,WORLD,,900,World,0,1994,303667,303215,273780,254723,249844,234388,208290,184218,164950,130453,108144,101374,86588,73546,55751,36932,25341,11840,3931,886,93
46,Estimates,WORLD,,900,World,0,1995,300117,306503,279136,256440,250736,237985,213332,187491,170029,136300,110086,102660,88146,75008,57819,37800,25574,12139,3906,769,98
47,Estimates,WORLD,,900,World,0,1996,294118,308749,285113,259205,251695,241492,218593,191598,174251,142657,113037,103325,89784,76040,59429,38995,25680,12943,4394,874,102
48,Estimates,WORLD,,900,World,0,1997,292565,307933,291285,262644,251766,244120,223529,196154,177096,149347,116952,103352,91773,76922,60888,40614,25471,13626,4700,1041,107
49,Estimates,WORLD,,900,World,0,1998,294138,304264,297323,266843,251570,246035,228083,201079,179219,155960,121721,103296,93867,77838,62257,42483,25268,14069,4900,1171,112
50,Estimates,WORLD,,900,World,0,1999,296341,299167,302256,271792,252009,247470,232243,206181,181647,161960,127130,104000,95688,79046,63625,44370,25437,14263,4962,1185,117
51,Estimates,WORLD,,900,World,0,2000,297524,294721,304908,277326,253615,248521,235955,211272,184962,167017,132980,105959,97026,80659,65038,46157,26131,14206,4926,1033,123
52,Estimates,WORLD,,900,World,0,2001,300943,292418,304905,282927,256150,248871,238830,215951,188588,170747,138947,108673,97369,81975,65798,47401,27223,14500,5520,1160,131
53,Estimates,WORLD,,900,World,0,2002,302159,291449,302959,289298,259708,248891,241383,220743,193015,173468,145489,112555,97352,83784,66565,48573,28539,14524,5920,1361,139
54,Estimates,WORLD,,900,World,0,2003,301860,291799,299657,295584,264103,248972,243522,225444,198031,175649,152122,117398,97437,85794,67463,49724,29942,14449,6151,1515,148
55,Estimates,WORLD,,900,World,0,2004,301644,292813,296235,300408,269061,249672,245105,229725,203195,178063,158109,122847,98309,87552,68637,50878,31260,14530,6164,1533,158
56,Estimates,WORLD,,900,World,0,2005,302684,293423,293769,302955,274399,251351,246135,233387,208211,181232,163015,128637,100378,88844,70151,52051,32442,14859,5981,1350,168
57,Estimates,WORLD,,900,World,0,2006,304646,294196,292039,303067,280381,253971,246748,236489,213191,185128,166714,134386,103116,89294,71459,52945,33625,15912,6373,1524,180
58,Estimates,WORLD,,900,World,0,2007,306959,295180,291307,300891,286861,257528,246825,239083,218080,189747,169390,140643,106849,89394,73162,53739,34713,16928,6505,1786,193
59,Estimates,WORLD,,900,World,0,2008,309654,296289,291387,297385,292919,261950,246803,241165,222702,194861,171564,146976,111386,89599,75039,54554,35767,17803,6558,1976,206
60,Estimates,WORLD,,900,World,0,2009,312331,297521,291847,294045,297365,267035,247408,242755,226893,200102,174099,152765,116479,90574,76738,55575,36790,18586,6561,1986,221
61,Estimates,WORLD,,900,World,0,2010,314830,298887,292351,291785,299587,272497,249103,243874,230557,205214,177498,157643,121964,92683,78081,56919,37766,19278,6607,1760,237
62,Estimates,WORLD,,900,World,0,2011,317961,300817,292802,290335,300014,278261,251799,244451,233664,210032,181318,161314,127518,95271,78584,58220,38583,20399,7392,1872,254
63,Estimates,WORLD,,900,World,0,2012,320210,303213,293487,289829,298305,284591,255495,244543,236365,214849,185878,164046,133668,98795,78812,59870,39245,21343,7992,2056,273
64,Estimates,WORLD,,900,World,0,2013,321803,305965,294393,290045,295249,290684,260030,244593,238591,219500,190942,166319,139966,103099,79189,61655,39922,22069,8484,2216,292
65,Estimates,WORLD,,900,World,0,2014,323116,308805,295599,290503,292186,295333,265124,245273,240266,223762,196127,168918,145745,107982,80294,63249,40791,22682,8805,2257,312
66,Estimates,WORLD,,900,World,0,2015,324426,311370,297197,290910,290007,297822,270534,247008,241397,227488,201180,172316,150610,113307,82435,64521,41933,23211,9009,2087,332
67,Estimates,WORLD,,900,World,0,2016,325609,314020,299265,291390,288765,298416,276400,249731,242002,230583,205984,176079,154155,118573,84884,65061,43190,24102,9940,2364,352
68,Estimates,WORLD,,900,World,0,2017,326616,316392,301722,291971,288334,296801,282806,253394,242072,233230,210753,180547,156789,124431,88117,65363,44615,24735,10547,2784,372
69,Estimates,WORLD,,900,World,0,2018,327476,318410,304446,292763,288499,293798,288967,257871,242068,235392,215326,185513,159000,130454,92031,65833,46062,25199,10978,3125,393
70,Estimates,WORLD,,900,World,0,2019,328119,320091,307203,293932,288834,290784,293702,262937,242697,237022,219505,190625,161571,136004,96515,66973,47306,25734,11223,3239,419
71,Estimates,WORLD,,900,World,0,2020,328509,321512,309770,295554,289101,288633,296294,268372,244399,238133,223163,195634,164961,140704,101491,69027,48281,26429,11352,3056,449
72,Estimates,UN development groups,a,1803,Label/Separator,900,1950,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
73,Estimates,UN development groups,a,1803,Label/Separator,900,1951,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
74,Estimates,UN development groups,a,1803,Label/Separator,900,1952,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
75,Estimates,UN development groups,a,1803,Label/Separator,900,1953,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
76,Estimates,UN development groups,a,1803,Label/Separator,900,1954,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
77,Estimates,UN development groups,a,1803,Label/Separator,900,1955,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
78,Estimates,UN development groups,a,1803,Label/Separator,900,1956,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
79,Estimates,UN development groups,a,1803,Label/Separator,900,1957,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
80,Estimates,UN development groups,a,1803,Label/Separator,900,1958,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
81,Estimates,UN development groups,a,1803,Label/Separator,900,1959,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
82,Estimates,UN development groups,a,1803,Label/Separator,900,1960,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
83,Estimates,UN development groups,a,1803,Label/Separator,900,1961,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
84,Estimates,UN development groups,a,1803,Label/Separator,900,1962,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
85,Estimates,UN development groups,a,1803,Label/Separator,900,1963,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
